antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"DayType=Weekend, Time=Night",Congestion=Low,0.07179297597042514,0.25000616142945165,0.06434996919285274,0.8963268108479231,3.5852188830988245,1.0,0.046401282852889886,7.234212091907309,0.776849326878776,0.24995213478843578,0.861767945521162,0.5768601719854758
Congestion=Low,"DayType=Weekend, Time=Night",0.25000616142945165,0.07179297597042514,0.06434996919285274,0.2573935331230284,3.5852188830988245,1.0,0.046401282852889886,1.2499312427659641,0.9614439009203923,0.24995213478843578,0.19995599294957453,0.5768601719854758
"Congestion=Low, DayType=Weekday",Time=Night,0.16828096118299446,0.2510659272951325,0.14987060998151572,0.890597539543058,3.5472656490585623,1.0,0.10762099441599102,6.845678511952924,0.8633837744045336,0.5561551124931405,0.8539224419823477,0.7437674062690258
Time=Night,"Congestion=Low, DayType=Weekday",0.2510659272951325,0.16828096118299446,0.14987060998151572,0.5969372729949936,3.5472656490585623,1.0,0.10762099441599102,2.063497771171172,0.9588196733852112,0.5561551124931405,0.5153859558411671,0.7437674062690258
"Congestion=Low, DayType=Weekday, Weather=Normal",Time=Night,0.1118422674060382,0.2510659272951325,0.0995686999383857,0.8902600264433671,3.545921328451911,1.0,0.07148891736129855,6.8246241404311005,0.8083990271824585,0.3781001403837154,0.8534717840246024,0.64342195393043
Time=Night,"Congestion=Low, DayType=Weekday, Weather=Normal",0.2510659272951325,0.1118422674060382,0.0995686999383857,0.39658388141749285,3.545921328451911,1.0,0.07148891736129855,1.4718826780437106,0.9586769692830809,0.3781001403837154,0.3205980239341447,0.64342195393043
"Time=Night, Weather=Normal","Congestion=Low, DayType=Weekday",0.1669008009858287,0.16828096118299446,0.0995686999383857,0.596574128765505,3.545107685216808,1.0,0.07148247272627878,2.0616403114453736,0.8617474633893588,0.42259414225941416,0.5149493369680376,0.5941277205046036
"Congestion=Low, DayType=Weekday","Time=Night, Weather=Normal",0.16828096118299446,0.1669008009858287,0.0995686999383857,0.5916813122437024,3.545107685216808,1.0,0.07148247272627878,2.0403161158065855,0.8631774529573146,0.42259414225941416,0.5098798699608976,0.5941277205046036
"Time=Night, Weather=Normal",Congestion=Low,0.1669008009858287,0.25000616142945165,0.14316697473813925,0.8577968103957472,3.431102679594582,1.0,0.10144074614417137,5.274099973831519,0.8504971646013098,0.5230035112991807,0.8103941895372299,0.715225297942353
Congestion=Low,"Time=Night, Weather=Normal",0.25000616142945165,0.1669008009858287,0.14316697473813925,0.572653785488959,3.431102679594582,1.0,0.10144074614417137,1.949471343667763,0.9447391033820143,0.5230035112991807,0.4870404208565663,0.715225297942353
"Congestion=Low, Weather=Normal",Time=Night,0.1668268638324091,0.2510659272951325,0.14316697473813925,0.8581769833062491,3.418134003892319,1.0,0.10128243347231666,5.280765352228386,0.8490944864211435,0.5211267605633801,0.8106335098608352,0.7142067796672602
Time=Night,"Congestion=Low, Weather=Normal",0.2510659272951325,0.1668268638324091,0.14316697473813925,0.5702365760282713,3.418134003892319,1.0,0.10128243347231666,1.9386785605617285,0.9445994539934573,0.5211267605633801,0.4841847326612763,0.7142067796672602
Congestion=Low,Time=Night,0.25000616142945165,0.2510659272951325,0.21422057917436846,0.8568611987381703,3.412893210837465,1.0,0.15145255042558659,5.232222612615823,0.9426657030397904,0.7467995532262222,0.8088766335001075,0.8550527648741406
Time=Night,Congestion=Low,0.2510659272951325,0.25000616142945165,0.21422057917436846,0.8532443310101109,3.412893210837465,1.0,0.15145255042558659,5.110493132788076,0.9439996054101575,0.7467995532262222,0.8043241671563619,0.8550527648741406
Congestion=Low,"DayType=Weekday, Time=Night, Weather=Normal",0.25000616142945165,0.11795440542205791,0.0995686999383857,0.3982649842271293,3.376431620354319,1.0,0.0700793718151237,1.4658372397442077,0.9384468222380057,0.37098255280073456,0.3177960193080492,0.621196846480468
"DayType=Weekday, Time=Night, Weather=Normal",Congestion=Low,0.11795440542205791,0.25000616142945165,0.0995686999383857,0.8441287087338069,3.3764316203543188,1.0,0.0700793718151237,4.811622669435177,0.7979511930348642,0.37098255280073456,0.7921699042711121,0.621196846480468
"DayType=Weekday, Time=Night",Congestion=Low,0.17927295132470733,0.25000616142945165,0.14987060998151572,0.8359912015397306,3.343882393777067,1.0,0.1050512675726967,4.572887830479607,0.8540554638937115,0.5363852871129928,0.7813198055428533,0.7177294335774362
Congestion=Low,"DayType=Weekday, Time=Night",0.25000616142945165,0.17927295132470733,0.14987060998151572,0.599467665615142,3.343882393777067,1.0,0.1050512675726967,2.0490906182038318,0.9346029050351445,0.5363852871129928,0.5119786352462204,0.7177294335774362
"DayType=Weekend, Time=Afternoon",Congestion=High,0.07139864448552063,0.25003080714725817,0.0596426370918053,0.8353469105971696,3.3409759386377678,1.0,0.04179077638187044,4.554844343174832,0.7545608854324092,0.22782903408021085,0.7804535293289568,0.5369440319373231
Congestion=High,"DayType=Weekend, Time=Afternoon",0.25003080714725817,0.07139864448552063,0.0596426370918053,0.23854115327747658,3.3409759386377678,1.0,0.04179077638187044,1.2195030099280768,0.9342867249859452,0.22782903408021085,0.17999382382912077,0.5369440319373231
"Congestion=Low, Weather=Normal","DayType=Weekday, Time=Night",0.1668268638324091,0.17927295132470733,0.0995686999383857,0.5968385285862018,3.329216840443379,1.0,0.06966115569890464,2.0357278829179393,0.8397162932586224,0.40387883634909527,0.508775210876104,0.5761206665477063
