grouping_variable,group,observations,mae,mean_actual_traffic,mean_predicted_traffic
day_type,Weekday,5775,723.4419177577878,3568.970043290043,3561.1042901985006
day_type,Weekend,2340,712.1604576668595,2669.357692307692,2621.334081958211
weather_group,Adverse Weather,2687,781.7952660199547,3156.578340156308,3157.703146702891
weather_group,Normal,5428,689.6920903087802,3385.2934782608695,3355.6651938997575
time_period,Night,2015,762.4154653548331,836.7012406947891,1250.5277480769762
time_period,Morning,2029,1059.7817376910598,4423.551996057171,4132.0174418666775
time_period,Afternoon,2031,491.4658330922501,5126.3988183161,5151.8211572613845
time_period,Evening,2040,568.4319267236114,2835.315196078431,2613.859536940239
