feature,mean_abs_shap
hour_cos,1603.2473991487673
hour_sin,553.1104127535859
day_of_week_sin,179.81481421579048
is_weekend,170.2548638237171
day_of_week_cos,95.7137691764604
year,70.12955068454475
temp,46.73459626729562
month,36.705783770905384
is_holiday,28.000410218333226
clouds_all,19.63187884148658
weather_Snow,19.346933546294416
weather_Mist,18.780741960065765
is_peak_hour,12.861184626809466
weather_Rain,5.93499037259582
weather_Fog,5.73848601332516
weather_Clouds,4.566431676465014
rain_1h,3.1066171531911575
weather_Drizzle,2.5500428711382224
weather_Clear,1.6809275560446508
weather_Haze,1.255345561848342
weather_Thunderstorm,0.6261888149655644
snow_1h,0.3274101726093789
weather_Squall,0.011715610542148498
weather_Smoke,0.004474024284302391
